date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres
11/01/2021,3.5,0.5,6.1,,,194,22.2,44.5,1000.3
12/01/2021,1.8,-0.9,4.4,,,237,9.1,25.9,993.7
13/01/2021,-1.1,-2.3,-0.2,,,6,18.2,44.5,1002.8
14/01/2021,-1.9,-4.3,-0.7,,,14,22,48.2,1022.3
15/01/2021,-5.7,-7.8,-4.2,,,10,9.5,20.4,1027.5
16/01/2021,-6.5,-8.5,-4.1,,,19,4.8,13,1023.3
17/01/2021,-4,-6.1,-2.5,,,145,5.5,14.8,1019.2
18/01/2021,-0.9,-2.7,1.1,,,170,11.1,24.1,1012.5
19/01/2021,1,0.5,1.7,,,157,10,22.2,1001.9
20/01/2021,2.8,0.6,5.5,,,140,11.1,37,991.7
21/01/2021,6.1,5.3,6.9,,,183,28,68.5,983.9
22/01/2021,5.7,4.8,6.5,,,188,27.5,63,978.8
23/01/2021,4.3,2,6.2,,,191,18.2,51.8,991.3
24/01/2021,1.7,0.6,2.6,,,135,6.3,16.7,995.3
25/01/2021,-0.3,-2,0.6,,,24,8.1,18.5,999.7
26/01/2021,-2.7,-4.7,-0.7,,,353,5,14.8,1008.3
27/01/2021,-2.6,-4.8,-0.5,,,232,5.8,18.5,1007.1
28/01/2021,-3.1,-6.1,-1.4,,,1,13.1,29.6,1005
29/01/2021,-5.8,-7.7,-3.8,,,17,9.3,22.2,1003.1
